D24 Taxa de prevalência de excesso de peso
Percentual da população de 15 anos ou mais com sobrepeso, obesidade e excesso de peso, por sexo
Distrito Federal e 17 capitais brasileiras, 2002-2003 e 2004-2005
Capital;% Sobrepeso Masc;IC 95% Sobrepeso Masc;% Sobrepeso Fem;IC 95% sobrepeso Fem;% Sobrepeso Total;IC 95% sobrepeso tot;% Obesidade Masc;IC 95% Obesidade Masc;% Obesidade Fem;IC 95% Obesidade Fem;% Obesidade Total;IC 95% Obesidade tot;% Excesso peso Masc;IC 95% Excesso peso Masc;% Excesso peso Fem;IC 95% Excesso peso Fem;% Excesso peso Total;IC 95% Excesso peso tot
Manaus;34,8;(30,8-38,8);23,3;(19,8-26,8);29,2;(26,4-32,1);10,7;(8,2-13,2);8,9;(6,5-11,4);9,8;(8,2-11,5);45,5;(41,1-49,9);32,2;(28,0-36,5);39;(35,9-42,2)
Belém;30,5;(26,2-34,7);22,3;(18,8-25,8);26,4;(23,5-29,2);9,1(*);(6,2-11,9);8,3(*);(5,8-10,8);8,7;(6,6-10,7);39,5;(34,1-44,9);30,6;(26,8-34,4);35,1;(31,3-38,8)
Palmas;29,6;(26,7-32,5);18,7;(15,1-22,3);24,5;(22,1-26,9);7,4(*);(5,4-9,4);5,8(*);(3,8-7,8);6,7;(5,4-7,9);37;(33,1-41,0);24,5;(20,2-28,9);31,1;(28,4-33,9)
São Luís;27;(23,5-30,6);19;(16,2-21,9);23;(20,9-25,1);7,7(*);(5,5-10,0);5,9(*);(4,1-7,7);6,8;(5,4-8,2);34,8;(30,6-38,9);24,9;(21,8-28,1);29,8;(27,1-32,6)
Fortaleza;33,6;(29,9-37,3);24,8;(22,2-27,5);29,2;(27,0-31,4);11,2;(9,0-13,4);8;(6,2-9,7);9,6;(8,1-11,0);44,8;(40,8-48,8);32,8;(29,9-35,7);38,8;(36,5-41,0)
Natal;25,2;(20,4-30,1);20,8;(17,2-24,4);23;(19,8-26,2);11,4(*);(7,2-15,6);9,9(*);(6,9-13,0);10,6;(7,8-13,5);36,6;(30,7-42,5);30,7;(26,0-35,5);33,6;(29,6-37,7)
João Pessoa;32,9;(28,4-37,3);21,8;(17,6-26,0);26,9;(23,7-30,2);10,7(*);(7,4-14,0);9,5(*);(7,5-11,4);10,1;(8,1-12,0);43,6;(39,0-48,2);31,3;(26,7-35,8);37;(33,5-40,5)
Recife;32,8;(28,6-37,1);24,6;(20,2-29,0);28,7;(25,9-31,5);12,5;(9,0-16,1);11,1(*);(8,0-14,1);11,8;(9,5-14,1);45,4;(40,5-50,2);35,6;(30,4-40,9);40,4;(36,8-44,1)
Aracaju;30,6;(25,4-35,7);19;(15,1-22,8);24,4;(21,1-27,8);7,6(*);(4,3-11,0);8,5(*);(5,1-11,9);8,1;(5,5-10,6);38,2;(32,7-43,8);27,5;(23,4-31,5);32,5;(28,8-36,3)
Belo Horizonte;32,6;(29,5-35,6);23,3;(20,7-26,0);27,9;(25,8-30,0);8,4;(6,4-10,4);10,3;(8,5-12,0);9,3;(8,0-10,7);41;(37,5-44,4);33,6;(30,7-36,5);37,2;(34,8-39,6)
